courseNum,courseName,profName,1reg,1quota,2reg,2quota,3reg,3quota,4reg,4quota,exreg,exquota,totalreg,totalquota,reg,quota
COSE488-00, 졸업프로젝트(캡스톤디자인)Ⅱ,이숙윤 COSE488-00,0,none,0,none,1,none,7,none,0,0,8,60 + 0,8,60
NRSG217-00, 간호학개론,송준아 NRSG217-00,1,none,0,none,3,none,2,none,0,0,6,80 + 0,6,80
NRSG220-00, 건강과식이(영강), NRSG220-00,3,none,47,none,1,none,0,none,0,0,51,75 + 0,51,75
NRSG233-00, 간호정보학및실습,강지원 NRSG233-00,1,none,12,none,3,none,0,none,0,0,16,40 + 0,16,40
NRSG234-00, 간호연구방법론,정지연 NRSG234-00,0,none,0,none,0,none,20,none,0,0,20,75 + 0,20,75
NRSG241-00, 기초간호과학II,강푸름 NRSG241-00,3,none,46,none,3,none,0,none,0,0,52,75 + 0,52,75
NRSG243-00, 기초간호과학III,강푸름 NRSG243-00,3,none,46,none,5,none,1,none,0,0,55,75 + 0,55,75
NRSG245-00, 병원미생물학,이창규 NRSG245-00,3,none,47,none,1,none,0,none,0,0,51,75 + 0,51,75
NRSG251-01, 기초간호과학실습II,한아영 NRSG251-01,2,none,25,none,2,none,0,none,0,0,29,20 + 0,29,20
NRSG251-02, 기초간호과학실습II,한아영 NRSG251-02,0,none,19,none,0,none,0,none,0,0,19,20 + 0,19,20
NRSG251-03, 기초간호과학실습II,한아영 NRSG251-03,0,none,2,none,0,none,0,none,0,0,2,20 + 0,2,20
NRSG253-00, 간호통계,서문경애 NRSG253-00,2,none,37,none,0,none,0,none,0,0,39,30 + 0,39,30
NRSG261-00, 기본간호학I,장성옥 NRSG261-00,3,none,47,none,3,none,0,none,0,0,53,75 + 0,53,75
NRSG265-01, 기본간호학실습I,장성옥 NRSG265-01,2,none,32,none,2,none,0,none,0,0,36,20 + 0,36,20
NRSG265-02, 기본간호학실습I,박원희 NRSG265-02,0,none,15,none,0,none,0,none,0,0,15,20 + 0,15,20
NRSG265-03, 기본간호학실습I,박원희 NRSG265-03,0,none,0,none,0,none,0,none,0,0,0,20 + 0,0,20
NRSG272-00, 성인간호학I,박수경 NRSG272-00,0,none,2,none,38,none,0,none,0,0,40,75 + 0,40,75
NRSG274-00, 성인간호학II,"박수경,정선영 NRSG274-00",0,none,1,none,39,none,0,none,0,0,40,75 + 0,40,75
NRSG275-00, 성인간호학III,"김성렬,정선영 NRSG275-00",0,none,1,none,42,none,0,none,0,0,43,75 + 0,43,75
NRSG286-01, 성인간호학실습II,김성렬 NRSG286-01,0,none,0,none,0,none,17,none,0,0,17,23 + 0,17,23
NRSG286-02, 성인간호학실습II,박수경 NRSG286-02,0,none,0,none,3,none,14,none,0,0,17,23 + 0,17,23
NRSG286-03, 성인간호학실습II,정선영 NRSG286-03,0,none,0,none,0,none,13,none,0,0,13,23 + 0,13,23
NRSG317-00, 간호전문직과윤리,박진경 NRSG317-00,0,none,0,none,0,none,47,none,0,0,47,75 + 0,47,75
NRSG341-00, 아동간호학I,오원옥 NRSG341-00,0,none,1,none,42,none,0,none,0,0,43,75 + 0,43,75
NRSG361-00, 모성간호학I,박영주 NRSG361-00,0,none,1,none,42,none,0,none,0,0,43,75 + 0,43,75
NRSG380-00, 노인간호학,송준아 NRSG380-00,0,none,1,none,41,none,1,none,0,0,43,75 + 0,43,75
NRSG425-01, 간호학실습입문,박수경 NRSG425-01,0,none,0,none,12,none,0,none,0,0,12,23 + 0,12,23
NRSG425-02, 간호학실습입문,천홍진 NRSG425-02,0,none,1,none,4,none,0,none,0,0,5,23 + 0,5,23
NRSG425-03, 간호학실습입문,강지원 NRSG425-03,0,none,0,none,10,none,0,none,0,0,10,23 + 0,10,23
NRSG435-01, 아동간호학실습,오원옥 NRSG435-01,0,none,0,none,0,none,18,none,0,0,18,23 + 0,18,23
NRSG435-02, 아동간호학실습,박일태 NRSG435-02,0,none,0,none,0,none,14,none,0,0,14,23 + 0,14,23
NRSG435-03, 아동간호학실습,박일태 NRSG435-03,0,none,0,none,0,none,12,none,0,0,12,23 + 0,12,23
NRSG441-00, 정신간호학II,한금선 NRSG441-00,0,none,0,none,0,none,47,none,0,0,47,75 + 0,47,75
NRSG445-01, 모성간호학실습,박영주 NRSG445-01,0,none,0,none,0,none,17,none,0,0,17,23 + 0,17,23
NRSG445-02, 모성간호학실습,신현정 NRSG445-02,0,none,0,none,0,none,14,none,0,0,14,23 + 0,14,23
NRSG445-03, 모성간호학실습,전송이 NRSG445-03,0,none,0,none,0,none,13,none,0,0,13,23 + 0,13,23
NRSG465-00, 지역사회간호학Ⅰ,추진아 NRSG465-00,0,none,0,none,0,none,48,none,0,0,48,75 + 0,48,75
BUSS003-00, Topic Course,신명철 BUSS003-00,8,2,13,4,48,14,42,7,3,1,114,27 + 1,111,27
BUSS165-00, 창업가의마인드셋,김진영 BUSS165-00,0,28,12,29,28,22,23,11,2,4,65,90 + 4,63,90
BUSS203-01, 경영수학,박광태 BUSS203-01,0,6,5,27,10,24,2,9,0,3,17,66 + 3,17,66
BUSS203-02, 경영수학(영강),이남경 BUSS203-02,8,6,46,25,47,25,20,8,1,9,122,64 + 9,121,64
BUSS204-00, 세계경제와기업(영강),조경아 BUSS204-00,1,2,13,12,23,22,15,18,20,8,72,54 + 8,52,54
BUSS205-01, 마케팅원론,박찬수 BUSS205-01,20,20,75,50,33,16,6,4,3,4,137,90 + 4,134,90
BUSS205-02, 마케팅원론,김상용 BUSS205-02,7,20,39,50,13,16,3,4,2,4,64,90 + 4,62,90
BUSS205-03, 마케팅원론,류강석 BUSS205-03,0,20,0,50,0,16,1,4,0,4,1,90 + 4,1,90
BUSS205-04, 마케팅원론(영강),유시진 BUSS205-04,1,19,1,46,4,14,1,4,14,12,21,83 + 12,7,83
BUSS205-05, 마케팅원론(영강),Tony C. Garrett BUSS205-05,2,19,1,46,1,14,1,4,12,12,17,83 + 12,5,83
BUSS205-06, 마케팅원론(영강),윤성아 BUSS205-06,21,19,66,46,17,14,2,4,17,12,123,83 + 12,106,83
BUSS205-07, 마케팅원론(영강),유원상 BUSS205-07,18,14,33,34,8,10,2,3,11,9,72,61 + 9,61,61
BUSS207-01, 재무관리(영강),김중혁 BUSS207-01,4,8,17,39,4,16,2,6,8,10,35,69 + 10,27,69
BUSS207-02, 재무관리(영강),황준호 BUSS207-02,23,9,96,46,29,20,9,8,11,12,168,83 + 12,157,83
BUSS207-03, 재무관리(영강),정지웅 BUSS207-03,1,9,8,46,8,20,1,8,3,12,21,83 + 12,18,83
BUSS207-04, 재무관리,이웅기 BUSS207-04,6,8,47,44,28,20,4,8,3,4,88,80 + 4,85,80
BUSS207-05, 재무관리(영강),SONG JUN MYUNG BUSS207-05,15,6,58,35,19,14,5,6,4,9,101,61 + 9,97,61
BUSS207-06, 재무관리(영강), BUSS207-06,3,9,10,46,4,20,0,8,1,12,18,83 + 12,17,83
BUSS207-07, 재무관리, BUSS207-07,2,9,9,50,5,22,2,9,0,4,18,90 + 4,18,90
BUSS207-08, 재무관리,황인준 BUSS207-08,1,none,2,none,17,none,15,none,0,4,35,90 + 4,35,90
BUSS211-01, 오퍼레이션스관리,박광태 BUSS211-01,8,10,39,54,15,20,1,6,2,4,65,90 + 4,63,90
BUSS211-02, 오퍼레이션스관리,김대기 BUSS211-02,1,9,13,48,6,18,0,5,2,4,22,80 + 4,20,80
